customer_id,donation_id,donation_date,donation_end_date,donation_amount,product,channel_pay
3319404,12600810.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
1925194,12565927.3,2024-04-25,2024-04-25,10.0,Membership,Bank Transfer
9409704,12749381.3,2025-03-15,2025-03-15,10.0,Membership,Bank Transfer
4637194,12658648.3,2024-11-08,2024-11-08,10.0,Membership,Bank Transfer
3722304,12652773.3,2024-11-05,,10.0,Membership_TopUp,Bank Transfer
3214404,12601905.3,2024-08-16,2024-08-16,10.0,Membership,Bank Transfer
4530194,12733430.3,2025-02-22,2025-02-22,10.0,Membership,Bank Transfer
8555304,12654696.3,2024-11-04,2024-11-07,10.0,Membership,Bank Transfer
3489794,12730307.3,2025-02-13,,11.0,General_Donation,Bank Transfer
880404,1238285.1,2024-03-17,,12.0,General_Donation,Bank Transfer
7236204,1264414.1,2025-08-15,,12.0,General_Donation,Bank Transfer
8596304,1237409.1,2024-03-01,,12.0,General_Donation,Bank Transfer
3324504,1244690.1,2024-07-25,,12.0,General_Donation,Bank Transfer
5993504,1244523.1,2024-07-21,,12.0,General_Donation,Bank Transfer
3069104,1263119.1,2025-07-15,,12.0,General_Donation,Bank Transfer
456104,1262423.1,2025-06-29,,12.0,General_Donation,Bank Transfer
9055104,1262187.1,2025-06-24,,12.0,General_Donation,Bank Transfer
4991704,1248732.1,2024-10-07,,12.0,General_Donation,Bank Transfer
8294404,1262493.1,2025-06-29,,12.0,General_Donation,Bank Transfer
967404,1241351.1,2024-05-24,,12.0,General_Donation,Bank Transfer
2209704,1262933.1,2025-07-10,,12.0,General_Donation,Bank Transfer
2548404,12596028.3,2024-08-08,,15.0,General_Donation,Bank Transfer
9290094,12778938.3,2025-05-21,,20.0,Membership_TopUp,Bank Transfer
4911094,12670656.3,2024-11-28,,20.0,Membership_TopUp,Bank Transfer
7433094,12635744.3,2024-09-20,,20.0,Membership_TopUp,Bank Transfer
2151894,12515109.3,2024-02-14,,20.0,Membership_TopUp,Bank Transfer
8425104,1262047.1,2025-06-22,,20.0,General_Donation,Bank Transfer
754504,12674332.3,2024-11-29,,20.0,Membership_TopUp,Bank Transfer
8754804,12716347.3,2025-01-05,,20.0,General_Donation,Bank Transfer
4132804,12707127.3,2024-12-14,,20.0,General_Donation,Bank Transfer
3315804,12754474.3,2025-03-24,,20.0,Membership_TopUp,Bank Transfer
